#Temperatur[C]	#Strom[pA]
-62.1	-2.2
-61.1	-2.2
-60.3	-2.3
-59.0	-2.4
-57.6	-2.4
-56.2	-2.5
-54.6	-2.5
-53.0	-2.4
-51.2	-2.3
-49.0	-2.1
-46.6	-1.8
-44.4	-1.4
-42.2	-0.8
-40.2	-0.2
-38.0	0.6
-36.2	1.3
-34.2	2.3
-32.7	2.4
-31.1	4.9
-29.3	7.5
-27.7	9.7
-25.9	13.5
-24.2	17
-22.6	22
-21.0	27
-19.4	32
-17.9	38
-16.4	42
-15.0	46
-13.5	47
-12.0	46
-10.5	42
-9.0	36
-7.5	29
-6.0	23
-4.5	14.5
-3.0	10
-1.6	7.2
-0.2	5.9
1.3	5.9
2.8	6.5
4.4	7.3
5.9	8.3
7.4	9.2
8.9	10.5
10.5	11
11.9	12.5
13.3	13
14.8	14
16.2	15
17.8	15.5
19.4	16
20.9	16.5
22.5	16.5
24.0	15.5
25.5	16
26.9	15
28.3	14
29.8	13
31.2	12
32.7	11
34.3	9.5
35.7	8.1
37.2	6.7
38.7	5.3
40.3	3.7
41.7	2.6
43.3	1.6
45.1	0.9
46.8	0.7
48.5	0.4
50.3	0.3
